,BusId,RouteAccess,BusStops,Capacity,Speed,Direction,Source,Destination,Zone
10,11,103A-D,"['103A-D-00', '103A-D-01', '103A-D-02', '103A-D-03', '103A-D-04', '103A-D-05', '103A-D-06', '103A-D-07', '103A-D-08', '103A-D-09', '103A-D-10', '103A-D-11', '103A-D-12', '103A-D-13', '103A-D-14', '103A-D-15', '103A-D-16', '103A-D-17', '103A-D-18', '103A-D-19', '103A-D-20', '103A-D-21', '103A-D-22', '103A-D-23', '103A-D-24', '103A-D-25', '103A-D-26', '103A-D-27', '103A-D-28', '103A-D-29', '103A-D-30', '103A-D-31', '103A-D-32', '103A-D-33', '103A-D-34', '103A-D-35', '103A-D-36', '103A-D-37', '103A-D-38', '103A-D-39', '103A-D-40', '103A-D-41', '103A-D-42', '103A-D-43', '103A-D-44', '103A-D-45', '103A-D-46', '103A-D-47', '103A-D-48', '103A-D-49', '103A-D-50', '103A-D-51', '103A-D-52', '103A-D-53', '103A-D-54', '103A-D-55', '103A-D-56', '103A-D-57', '103A-D-58', '103A-D-59', '103A-D-60', '103A-D-61', '103A-D-62', '103A-D-63', '103A-D-64', '103A-D-65', '103A-D-66', '103A-D-67', '103A-D-68', '103A-D-69', '103A-D-70', '103A-D-71', '103A-D-72']",50,80,Down,103A-D-00,103A-D-72,Zone 4
11,12,103A-U,"['103A-U-00', '103A-U-01', '103A-U-02', '103A-U-03', '103A-U-04', '103A-U-05', '103A-U-06', '103A-U-07', '103A-U-08', '103A-U-09', '103A-U-10', '103A-U-11', '103A-U-12', '103A-U-13', '103A-U-14', '103A-U-15', '103A-U-16', '103A-U-17', '103A-U-18', '103A-U-19', '103A-U-20', '103A-U-21', '103A-U-22', '103A-U-23', '103A-U-24', '103A-U-25', '103A-U-26', '103A-U-27', '103A-U-28', '103A-U-29', '103A-U-30', '103A-U-31', '103A-U-32', '103A-U-33', '103A-U-34', '103A-U-35', '103A-U-36', '103A-U-37', '103A-U-38', '103A-U-39', '103A-U-40', '103A-U-41', '103A-U-42', '103A-U-43', '103A-U-44', '103A-U-45', '103A-U-46', '103A-U-47', '103A-U-48', '103A-U-49', '103A-U-50', '103A-U-51', '103A-U-52', '103A-U-53', '103A-U-54', '103A-U-55', '103A-U-56', '103A-U-57', '103A-U-58', '103A-U-59', '103A-U-60', '103A-U-61', '103A-U-62', '103A-U-63', '103A-U-64', '103A-U-65', '103A-U-66', '103A-U-67', '103A-U-68', '103A-U-69', '103A-U-70', '103A-U-71']",50,80,Up,103A-U-00,103A-U-71,Zone 4
12,13,103C-D,"['103C-D-00', '103C-D-01', '103C-D-02', '103C-D-03', '103C-D-04', '103C-D-05', '103C-D-06', '103C-D-07', '103C-D-08', '103C-D-09', '103C-D-10', '103C-D-11', '103C-D-12', '103C-D-13', '103C-D-14', '103C-D-15', '103C-D-16', '103C-D-17', '103C-D-18', '103C-D-19', '103C-D-20', '103C-D-21', '103C-D-22', '103C-D-23', '103C-D-24', '103C-D-25', '103C-D-26', '103C-D-27', '103C-D-28', '103C-D-29', '103C-D-30', '103C-D-31', '103C-D-32', '103C-D-33', '103C-D-34', '103C-D-35', '103C-D-36', '103C-D-37', '103C-D-38', '103C-D-39', '103C-D-40', '103C-D-41', '103C-D-42', '103C-D-43', '103C-D-44', '103C-D-45', '103C-D-46', '103C-D-47', '103C-D-48', '103C-D-49', '103C-D-50', '103C-D-51', '103C-D-52', '103C-D-53', '103C-D-54', '103C-D-55', '103C-D-56', '103C-D-57', '103C-D-58', '103C-D-59', '103C-D-60', '103C-D-61']",50,80,Down,103C-D-00,103C-D-61,Zone 4
13,14,103C-U,"['103C-U-00', '103C-U-01', '103C-U-02', '103C-U-03', '103C-U-04', '103C-U-05', '103C-U-06', '103C-U-07', '103C-U-08', '103C-U-09', '103C-U-10', '103C-U-11', '103C-U-12', '103C-U-13', '103C-U-14', '103C-U-15', '103C-U-16', '103C-U-17', '103C-U-18', '103C-U-19', '103C-U-20', '103C-U-21', '103C-U-22', '103C-U-23', '103C-U-24', '103C-U-25', '103C-U-26', '103C-U-27', '103C-U-28', '103C-U-29', '103C-U-30', '103C-U-31', '103C-U-32', '103C-U-33', '103C-U-34', '103C-U-35', '103C-U-36', '103C-U-37', '103C-U-38', '103C-U-39', '103C-U-40', '103C-U-41', '103C-U-42', '103C-U-43', '103C-U-44', '103C-U-45', '103C-U-46', '103C-U-47', '103C-U-48', '103C-U-49', '103C-U-50', '103C-U-51', '103C-U-52', '103C-U-53', '103C-U-54', '103C-U-55', '103C-U-56', '103C-U-57', '103C-U-58', '103C-U-59', '103C-U-60']",50,80,Up,103C-U-00,103C-U-60,Zone 4
14,15,103M-D,"['103M-D-00', '103M-D-01', '103M-D-02', '103M-D-03', '103M-D-04', '103M-D-05', '103M-D-06', '103M-D-07', '103M-D-08', '103M-D-09', '103M-D-10', '103M-D-11', '103M-D-12', '103M-D-13', '103M-D-14', '103M-D-15', '103M-D-16', '103M-D-17', '103M-D-18', '103M-D-19', '103M-D-20', '103M-D-21', '103M-D-22', '103M-D-23', '103M-D-24', '103M-D-25', '103M-D-26', '103M-D-27', '103M-D-28', '103M-D-29']",50,80,Down,103M-D-00,103M-D-29,Zone 4
15,16,103M-U,"['103M-U-00', '103M-U-01', '103M-U-02', '103M-U-03', '103M-U-04', '103M-U-05', '103M-U-06', '103M-U-07', '103M-U-08', '103M-U-09', '103M-U-10', '103M-U-11', '103M-U-12', '103M-U-13', '103M-U-14', '103M-U-15', '103M-U-16', '103M-U-17', '103M-U-18', '103M-U-19', '103M-U-20', '103M-U-21', '103M-U-22', '103M-U-23', '103M-U-24', '103M-U-25', '103M-U-26', '103M-U-27', '103M-U-28', '103M-U-29']",50,80,Up,103M-U-00,103M-U-29,Zone 4
16,17,104-D,"['104-D-00', '104-D-01', '104-D-02', '104-D-03', '104-D-04', '104-D-05', '104-D-06', '104-D-07', '104-D-08', '104-D-09', '104-D-10', '104-D-11', '104-D-12', '104-D-13', '104-D-14', '104-D-15', '104-D-16', '104-D-17', '104-D-18', '104-D-19', '104-D-20', '104-D-21', '104-D-22', '104-D-23', '104-D-24', '104-D-25', '104-D-26', '104-D-27', '104-D-28', '104-D-29', '104-D-30', '104-D-31', '104-D-32', '104-D-33', '104-D-34', '104-D-35', '104-D-36']",50,80,Down,104-D-00,104-D-36,Zone 4
17,18,104-U,"['104-U-00', '104-U-01', '104-U-02', '104-U-03', '104-U-04', '104-U-05', '104-U-06', '104-U-07', '104-U-08', '104-U-09', '104-U-10', '104-U-11', '104-U-12', '104-U-13', '104-U-14', '104-U-15', '104-U-16', '104-U-17', '104-U-18', '104-U-19', '104-U-20', '104-U-21', '104-U-22', '104-U-23', '104-U-24', '104-U-25', '104-U-26', '104-U-27', '104-U-28', '104-U-29', '104-U-30', '104-U-31', '104-U-32', '104-U-33', '104-U-34', '104-U-35', '104-U-36']",50,80,Up,104-U-00,104-U-36,Zone 4
18,19,105-D,"['105-D-00', '105-D-01', '105-D-02', '105-D-03', '105-D-04', '105-D-05', '105-D-06', '105-D-07', '105-D-08', '105-D-09', '105-D-10', '105-D-11', '105-D-12', '105-D-13', '105-D-14', '105-D-15', '105-D-16', '105-D-17', '105-D-18', '105-D-19', '105-D-20', '105-D-21', '105-D-22', '105-D-23', '105-D-24', '105-D-25', '105-D-26', '105-D-27', '105-D-28', '105-D-29', '105-D-30']",50,80,Down,105-D-00,105-D-30,Zone 4
19,20,105-U,"['105-U-00', '105-U-01', '105-U-02', '105-U-03', '105-U-04', '105-U-05', '105-U-06', '105-U-07', '105-U-08', '105-U-09', '105-U-10', '105-U-11', '105-U-12', '105-U-13', '105-U-14', '105-U-15', '105-U-16', '105-U-17', '105-U-18', '105-U-19', '105-U-20', '105-U-21', '105-U-22', '105-U-23', '105-U-24', '105-U-25', '105-U-26', '105-U-27', '105-U-28', '105-U-29', '105-U-30', '105-U-31', '105-U-32', '105-U-33', '105-U-34']",50,80,Up,105-U-00,105-U-34,Zone 4
