ID,Direction,StopName,StopCode,Latitude,Longitude,Status,StopType,Routes,Zone
5539,UP,bahirwade kridangan,323C-U-09,18.6617613,73.8079468,Inactive,Secondary,"['334-U', '323C-U']",Zone 4
5540,UP,shani mandir,323C-U-10,18.66082,73.80777,Active,Primary,"['334-U', '323C-U']",Zone 4
5541,UP,mahabali chowk,323C-U-11,18.6595964,73.8075641,Inactive,Secondary,"['334-U', '323C-U']",Zone 4
5542,UP,shivtejnagar chowk,323C-U-12,18.6627,73.80665,Inactive,Secondary,['323C-U'],Zone 4
5543,UP,vaishnavi collection,323C-U-13,18.6630296,73.8069348,Inactive,Secondary,"['334-U', '323C-U']",Zone 4
5544,UP,newale chowk,323C-U-14,18.6642422,73.8070735,Inactive,Secondary,"['334-U', '323C-U']",Zone 4
5545,UP,gharkul vasahat chikhali,323C-U-15,18.6655917,73.8062883,Inactive,Secondary,"['308-U', '367B-U', '334-U', '323C-U']",Zone 4
5546,DOWN,chikhali,326B-D-00,18.68381,73.81454,Inactive,Secondary,"['326-D', '326B-D', '323B-D', '355-D']",Zone 4
5547,DOWN,moi phata,326B-D-01,18.68191,73.81955,Inactive,Secondary,"['326-D', '326B-D', '323B-D']",Zone 4
5548,DOWN,jadhavwadi phata chikhali,326B-D-02,18.677598,73.818786,Active,Primary,"['326-D', '326B-D', '323B-D']",Zone 4
5549,DOWN,kudalwadi,326B-D-03,18.6735096,73.8159794,Inactive,Secondary,"['326-D', '326B-D']",Zone 4
5550,DOWN,kudalwadi corner,326B-D-04,18.6705873,73.8155132,Active,Primary,"['326-D', '326B-D']",Zone 4
5551,DOWN,pawarvasti chikhali road,326B-D-05,18.66682,73.81499,Active,Primary,"['326-D', '326B-D']",Zone 4
5552,DOWN,bhosale petrol pump,326B-D-06,18.6618188,73.8129832,Active,Primary,"['326-D', '326B-D']",Zone 4
5553,DOWN,rto chikhali,326B-D-07,18.6581073,73.8124118,Inactive,Secondary,"['326-D', '326B-D']",Zone 4
5554,DOWN,shahunagar,326B-D-08,18.655225,73.8113434,Active,Primary,"['326-D', '326B-D']",Zone 4
5555,DOWN,ksb chowk,326B-D-09,18.6506657,73.8096876,Active,Primary,"['326-D', '326B-D', '367B-D', '367-D', '334-D', '323C-D', '304-D']",Zone 4
5556,DOWN,commissioner bungalow,326B-D-10,18.64846,73.80885,Inactive,Secondary,"['326-D', '326B-D', '334-D']",Zone 4
5557,DOWN,midc pimpri,326B-D-11,18.6433538,73.8076332,Active,Primary,"['326-D', '326B-D', '334-D']",Zone 4
5558,DOWN,pimpri court,326B-D-12,18.6372979,73.805498,Active,Primary,"['326-D', '326B-D', '334-D']",Zone 4
5559,DOWN,morwadi,326B-D-13,18.6305865,73.8029881,Active,Primary,"['326-D', '326B-D', '334-D']",Zone 4
5560,DOWN,pimpri,326B-D-14,18.6267471,73.8055267,Active,Primary,"['326-D', '335B-D', '334-D', '302D-D', '302-D', '310A-D', '326B-D', '317A-D']",Zone 4
5561,DOWN,mahindra company,326B-D-15,18.6284606,73.8074398,Inactive,Secondary,"['326B-D', '302D-D', '302-D', '310A-D', '335B-D']",Zone 4
5562,DOWN,gandhinagar,326B-D-16,18.62922,73.80816,Inactive,Secondary,"['326B-D', '302D-D', '302-D', '310A-D', '335B-D']",Zone 4
5563,DOWN,kamgarnagar,326B-D-17,18.62908,73.81219,Active,Primary,"['326B-D', '302D-D', '302-D', '310A-D', '335B-D']",Zone 4
5564,DOWN,ha corner,326B-D-18,18.62867,73.81505,Active,Primary,"['326B-D', '302D-D', '302-D', '310A-D', '335B-D']",Zone 4
5565,DOWN,nehrunagar corner,326B-D-19,18.62919,73.81778,Inactive,Secondary,"['302D-D', '323B-D', '323C-D', '326B-D']",Zone 4
5566,DOWN,nehrunagar,326B-D-20,18.62965,73.81933,Active,Primary,"['376D-D', '326B-D', '302D-D', '302-D', '310A-D', '335B-D', '362B-D']",Zone 4
5567,DOWN,jyoti english school,326B-D-21,18.63045,73.8228,Inactive,Secondary,"['376D-D', '326B-D', '302D-D', '302-D', '310A-D', '335B-D', '362B-D']",Zone 4
5568,DOWN,nehrunagar depot,326B-D-22,18.63076,73.82512,Inactive,Secondary,"['335B-D', '376D-D', '302C-D', '302D-D', '323C-D', '310A-D', '326B-D', '323B-D', '304A-D']",Zone 4
5569,UP,nehrunagar depot,331C-U-00,18.63082,73.82512,Inactive,Secondary,"['344B-U', '376D-U', '310A-U', '304A-U', '335B-U', '331C-U', '331D-U', '302C-U', '323C-U', '323B-U', '302D-U']",Zone 4
5570,UP,jyoti english school,331C-U-01,18.63056833,73.82375167,Active,Primary,"['376D-U', '310A-U', '335B-U', '331C-U', '362B-U', '302-U', '302D-U']",Zone 4
5571,UP,nehrunagar,331C-U-02,18.62968167,73.81998333,Inactive,Secondary,"['376D-U', '310A-U', '335B-U', '331C-U', '362B-U', '302-U', '302D-U']",Zone 4
5572,UP,ha corner,331C-U-03,18.62858252,73.81509782,Inactive,Secondary,"['310A-U', '335B-U', '331C-U', '302-U', '302D-U']",Zone 4
5573,UP,kamgarnagar,331C-U-04,18.629,73.81247,Inactive,Secondary,"['310A-U', '335B-U', '331C-U', '302-U', '302D-U']",Zone 4
5574,UP,gandhinagar,331C-U-05,18.62821667,73.80731,Inactive,Secondary,"['310A-U', '335B-U', '331C-U', '302-U', '302D-U']",Zone 4
5575,UP,mahindra company,331C-U-06,18.627135,73.80629833,Active,Primary,"['310A-U', '335B-U', '331C-U', '302-U', '302D-U']",Zone 4
5576,UP,pimpri,331C-U-07,18.6267776,73.8050949,Inactive,Secondary,"['310A-U', '335B-U', '331C-U', '302-U', '302D-U']",Zone 4
5577,UP,kundan hotel,331C-U-08,18.62545,73.80535833,Active,Primary,['331C-U'],Zone 4
5578,UP,gokul hotel,331C-U-09,18.62462167,73.80322333,Active,Primary,['331C-U'],Zone 4
5579,UP,delux,331C-U-10,18.62401,73.80033,Active,Primary,['331C-U'],Zone 4
5580,UP,shagun chowk,331C-U-11,18.62260628,73.80150604,Inactive,Secondary,['331C-U'],Zone 4
5581,UP,jijamata hospital,331C-U-12,18.61940167,73.80081667,Inactive,Secondary,"['334-U', '331C-U', '350B-U', '326-U', '302-U', '302D-U']",Zone 4
5582,UP,krushna mandir corner,331C-U-13,18.618927,73.79836273,Inactive,Secondary,['331C-U'],Zone 4
5583,UP,vijaynagar,331C-U-14,18.61837578,73.79204559,Inactive,Secondary,['331C-U'],Zone 4
5584,UP,ingale hospital,331C-U-15,18.61797,73.79124,Inactive,Secondary,['331C-U'],Zone 4
5585,UP,kalewadi,331C-U-16,18.61674833,73.78971167,Active,Primary,['331C-U'],Zone 4
5586,UP,avinash mangal karyalay,331C-U-17,18.61587667,73.78658333,Inactive,Secondary,['331C-U'],Zone 4
5587,UP,mm school,331C-U-18,18.61507167,73.78557667,Active,Primary,['331C-U'],Zone 4
5588,UP,tapkirnagar kalewadi,331C-U-19,18.61247,73.78457,Inactive,Secondary,['331C-U'],Zone 4
5589,UP,shreenagar,331C-U-20,18.6079617,73.7809317,Inactive,Secondary,['331C-U'],Zone 4
5590,UP,rahatani phata,331C-U-21,18.60637,73.78002,Inactive,Secondary,['331C-U'],Zone 4
5591,UP,nakhatevasti,331C-U-22,18.60479927,73.78656769,Active,Primary,['331C-U'],Zone 4
5592,UP,ramnagar rahatni,331C-U-23,18.60329333,73.79237667,Inactive,Secondary,['331C-U'],Zone 4
5593,UP,rahatnigaon,331C-U-24,18.60295868,73.7953949,Active,Primary,['331C-U'],Zone 4
